name,aliases,segment,country,domain
Bolsa de Madrid,BME|Bolsas y Mercados Espanoles,Exchange,Spain,bolsamadrid.es
Nasdaq Nordic,OMX|Nasdaq OMX|Nasdaq Stockholm,Exchange,Sweden,nasdaqomxnordic.com
Warsaw Stock Exchange,GPW|Gielda Papierow Wartosciowych,Exchange,Poland,gpw.pl
MIAX,Miami International Holdings|MIAX Exchange,Exchange,USA,miaxglobal.com
SIX Swiss Exchange,SIX|SIX Group|Swiss Exchange,Exchange,Switzerland,six-group.com
Singapore Exchange,SGX,Exchange,Singapore,sgx.com
TMX Group,Toronto Stock Exchange|TSX,Exchange,Canada,tmx.com
B3,B3 Brasil Bolsa Balcao|BM&FBovespa,Exchange,Brazil,b3.com.br
Euronext,Euronext NV|Euronext Paris|Euronext Amsterdam,Exchange,Netherlands,euronext.com
Deutsche Boerse,Deutsche Borse|Deutsche Börse|Xetra|Frankfurt Stock Exchange,Exchange,Germany,deutsche-boerse.com
CME Group,CME|Chicago Mercantile Exchange,Exchange,USA,cmegroup.com
Intercontinental Exchange,ICE|ICE Futures,Exchange,USA,ice.com
Nasdaq,NASDAQ|Nasdaq Inc,Exchange,USA,nasdaq.com
Deutsche Bank,DB|Deutsche Bank AG,Bank,Germany,db.com
Standard Chartered,StanChart|Standard Chartered Bank,Bank,United Kingdom,sc.com
Nomura,Nomura Holdings|Nomura Securities,Bank,Japan,nomura.com
Mizuho,Mizuho Financial Group|Mizuho Bank,Bank,Japan,mizuho-fg.com
RBC,Royal Bank of Canada|RBC Capital Markets,Bank,Canada,rbc.com
Scotiabank,Bank of Nova Scotia|Scotia,Bank,Canada,scotiabank.com
Commerzbank,Commerzbank AG,Bank,Germany,commerzbank.com
Bank of China,BOC|Bank of China Limited,Bank,China,boc.cn
Mitsubishi UFJ,MUFG|Mitsubishi UFJ Financial Group,Bank,Japan,mufg.jp
Handelsbanken,Svenska Handelsbanken,Bank,Sweden,handelsbanken.com
KBC,KBC Group|KBC Bank,Bank,Belgium,kbc.com
Erste Group,Erste Bank|Erste Group Bank AG,Bank,Austria,erstegroup.com
Danske Bank,Danske,Bank,Denmark,danskebank.com
Nordea,Nordea Bank,Bank,Finland,nordea.com
Credit Agricole,Credit Agricole CIB|Crédit Agricole,Bank,France,credit-agricole.com
Societe Generale,SocGen|Société Générale|SG CIB,Bank,France,societegenerale.com
UniCredit,UniCredit Bank,Bank,Italy,unicredit.eu
Intesa Sanpaolo,Intesa,Bank,Italy,intesasanpaolo.com
BBVA,Banco Bilbao Vizcaya Argentaria,Bank,Spain,bbva.com
Julius Baer,Julius Bär|Bank Julius Baer,Bank,Switzerland,juliusbaer.com
Rabobank,Rabo,Bank,Netherlands,rabobank.com
ING,ING Group|ING Bank,Bank,Netherlands,ing.com
Bank of America,BofA|BAML|Merrill Lynch,Bank,USA,bankofamerica.com
Wells Fargo,Wells Fargo & Co,Bank,USA,wellsfargo.com
Goldman Sachs,GS|Goldman|Goldman Sachs Group,Bank,USA,goldmansachs.com
JPMorgan,JPM|JP Morgan|JPMorgan Chase|J.P. Morgan,Bank,USA,jpmorgan.com
Morgan Stanley,MS|Morgan Stanley & Co,Bank,USA,morganstanley.com
HSBC,HSBC Holdings|HSBC UK|HSBC Bank,Bank,United Kingdom,hsbc.com
Barclays,Barclays plc|Barclays Bank|BarCap,Bank,United Kingdom,barclays.com
Lloyds,Lloyds Banking Group|Lloyds Bank|LBG,Bank,United Kingdom,lloydsbank.com
NatWest,NatWest Group|Royal Bank of Scotland|RBS,Bank,United Kingdom,natwest.com
Santander,Banco Santander|Santander UK,Bank,Spain,santander.com
UBS,UBS Group|Union Bank of Switzerland,Bank,Switzerland,ubs.com
BNP Paribas,BNP|BNPP,Bank,France,bnpparibas.com
Citibank,Citi|Citigroup|Citibank NA,Bank,USA,citigroup.com
FactSet,FactSet Research Systems,Information vendor,USA,factset.com
S&P Global,Standard & Poor's|S&P|SPGI|S&P Global Market Intelligence,Information vendor,USA,spglobal.com
Moody's,Moodys|Moody's Investors Service|Moodys Investor Services,Information vendor,USA,moodys.com
MSCI,MSCI Inc|Morgan Stanley Capital International,Information vendor,USA,msci.com
Morningstar,Morningstar Inc,Information vendor,USA,morningstar.com
Bloomberg,Bloomberg LP|Bloomberg Terminal,Information vendor,USA,bloomberg.com
Refinitiv,Thomson Reuters|Refinitiv Eikon,Information vendor,United Kingdom,refinitiv.com
SIX Financial Information,Six Financial Information|SIX Telekurs,Information vendor,Switzerland,six-group.com
Quandl,Nasdaq Data Link,Information vendor,Canada,data.nasdaq.com
Benzinga,Benzinga Pro,Information vendor,USA,benzinga.com
Edgar Online,EDGAR Online|Donnelley Financial,Information vendor,USA,dfinsolutions.com
Interactive Data,Interactive Data Corporation|IDC,Information vendor,USA,intercontinentalexchange.com
Markit,IHS Markit|Markit Group,Information vendor,United Kingdom,ihsmarkit.com
Tradeweb,Tradeweb Markets,Information vendor,USA,tradeweb.com
MarketAxess,MarketAxess Holdings,Information vendor,USA,marketaxess.com
OpenBB,OpenBB Terminal|OpenBB Finance,Information vendor,USA,openbb.co
Brandfetch,Brandfetch API,Information vendor,Germany,brandfetch.com
